2015-06-17 13:58:03,282, DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-17 13:58:11,532, INFO,  ---------------------- root (main.py) --------------------------------
2015-06-17 13:58:11,532, DEBUG, subprocess call: 'pa273_v2.py -s'
2015-06-17 14:02:32,901, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 14:02:32,901, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 14:02:53,342, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 14:02:53,342, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:30:45,753, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:30:45,769, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:30:51,865, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:30:51,865, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:31:01,089, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:31:01,105, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:31:18,085, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:31:18,085, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:41:49,242, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:41:49,242, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:41:53,190, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:41:53,190, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:42:07,447, INFO,  ---------------------- root (main.py) --------------------------------
2015-06-17 16:42:07,447, DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-17 16:47:54,023, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:47:54,025, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:47:58,328, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:47:58,328, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:48:24,430, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:48:24,430, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:48:25,848, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-17 16:48:25,848, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-17 16:48:43,575, INFO,  ---------------------- root (main.py) --------------------------------
2015-06-17 16:48:43,575, DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-18 12:21:43,555, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-18 12:21:43,571, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-18 12:21:45,946, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-18 12:21:45,946, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-18 12:21:57,055, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-18 12:21:57,055, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-18 13:03:21,346, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-18 13:03:21,451, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-18 13:03:25,983, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-18 13:03:25,999, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-18 13:04:39,427, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-18 13:04:39,428, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 11:45:01,668, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-30 11:45:01,700, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 11:45:07,638, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-30 11:45:07,654, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 11:45:11,967, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-30 11:45:11,967, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 11:45:16,997, INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py) --------------------------------
2015-06-30 11:45:16,997, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 11:45:27,826, INFO,  ---------------------- root (main.py) --------------------------------
2015-06-30 11:45:27,826, DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 11:45:52,176, INFO,  ---------------------- root (main.py) --------------------------------
